input,word_1,word_2,word_3,word_4,pos_1,pos_2,pos_3,pos_4,def_1,def_2,def_3,def_4,sent_1,sent_2,sent_3,sent_4,ipa,pic,speech
cidre,"CIDRE,","Cidricole,",,,subst. masc.,adj.,,,Boisson faite avec du jus de pommes fermenté.,"Relatif au cidre, à sa production.",,,"Il mangeait lentement, bien qu'il fût affamé, et il buvait une gorgée de cidre après chaque bouchée de pain.
Maupassant, Contes et nouvelles,t. 1, Le Retour, 1884, p. 168.","Pays cidricole (G. Brunerie, Les Industr. alim.,1949, p. 78).",,,\sidʁ\,//upload.wikimedia.org/wikipedia/commons/thumb/8/84/Cider-strongbow.jpg/180px-Cider-strongbow.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/f/fd/Fr-cidre.ogg/Fr-cidre.ogg.mp3
batifoler,"BATIFOLER,","Batifolard, arde,",,,verbe intrans.,adj. néol. d'aut.,,,"Folâtrer, gambader, s'ébattre avec joie comme un enfant :",Qui aime batifoler et s'amuser.,,,"1. ... madame de Lourmel et une autre dame, étant à batifoler sur les rochers auprès du phare, ont été surprises par deux furieuses lames.
Mérimée, Lettres à M. Panizzi,t. 2, 1870, p. 240.","Une énorme pipe de maquignon cossu et batifolard (Bloy, La Femme pauvre,1897, p. 229).",,,\ba.ti.fɔ.le\,,//upload.wikimedia.org/wikipedia/commons/transcoded/d/de/Fr-batifoler.ogg/Fr-batifoler.ogg.mp3
coque,"COQUE,",,,,subst. fém.,,,,Enveloppe calcaire plus ou moins arrondie.,,,,"Leur fœtus, enfermé dans une enveloppe inorganique (la coque de l'œuf) (Lamarck, Philos. zool.,t. 1, 1809, p. 147).",,,,\kɔk\,//upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Chicks_hatching_USDA95c1973.jpg/220px-Chicks_hatching_USDA95c1973.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/a/a0/LL-Q150_%28fra%29-0x010C-coque.wav/LL-Q150_%28fra%29-0x010C-coque.wav.mp3
recensement,"RECENSEMENT,",,,,subst. masc.,,,,Action de recenser; résultat de cette action.,,,,"Le recensement printanier accusa un dépérissement important du troupeau (Aymé, Puits, 1932, p. 143).",,,,\ʁə.sɑ̃s.mɑ̃\,,//upload.wikimedia.org/wikipedia/commons/transcoded/4/4b/Fr-recensement.ogg/Fr-recensement.ogg.mp3
canalisation,"CANALISATION,",,,,subst. fém.,,,,Action d'améliorer la navigabilité d'un cours d'eau; de sillonner une région d'un réseau de canaux.,,,,"La canalisation de la Marne, de la Sologne; la canalisation du Rhin (Barrès, Mes cahiers,t. 12, 1919-20, p. 83):",,,,\ka.na.li.za.sjɔ̃\,//upload.wikimedia.org/wikipedia/commons/thumb/6/66/Buried_pipes_J1.jpg/220px-Buried_pipes_J1.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/0/06/LL-Q150_%28fra%29-WikiLucas00-canalisation.wav/LL-Q150_%28fra%29-WikiLucas00-canalisation.wav.mp3
cantonner,"CANTONNER,",,,,verbe.,,,,Garnir dans les coins.,,,,"[Que] les tourelles [se préparent] à cantonner le clocher (A. Arnoux, Abisag,1919, p. 299).",,,,\kɑ̃.tɔ.ne\,,//upload.wikimedia.org/wikipedia/commons/transcoded/d/dc/LL-Q150_%28fra%29-Lyoko%C3%AF-cantonner.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-cantonner.wav.mp3
menu,"MENU1, -UE,",,,,adj.,,,,"D'une conformation mince, frêle, chétive.",,,,"Elle était petite, menue et délicate (Cendrars,Bourlinguer,1948, p. 81):",,,,\mə.ny\,//upload.wikimedia.org/wikipedia/commons/thumb/0/03/Giraffe_Retouch.jpg/220px-Giraffe_Retouch.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/4/4b/Fr-menu.ogg/Fr-menu.ogg.mp3
écolier,"ÉCOLIER, IÈRE,","Écolerie,",,,subst. et adj.,"subst. fém.,",,,Étudiant d'une université :,Enseignement donné à l'école.,,,"1. Ce dernier, [Villon] écolier libertin et fripon, véritable enfant de Paris, élevé dans quelque boutique de la Cité ou de la place Maubert, a un ton qui, pour le moins autant que celui de Regnier, se sent des lieux que fréquentait l'auteur.
Sainte-Beuve, Tabl. hist. et crit. de la poésie fr. et du théâtre fr. au XVIes.,1828, p. 12.","On n'a jamais vu pareils débordements de l'écolerie (Hugo, N.-D. Paris,1832, p. 26).",,,\e.kɔ.lje\,,//upload.wikimedia.org/wikipedia/commons/transcoded/3/39/Fr-%C3%A9colier.ogg/Fr-%C3%A9colier.ogg.mp3
alangui,"ALANGUIR,",,,,verbe trans.,,,,"Rendre languissant, enlever la vigueur :",,,,"1. Quand aucun encouragement ne vous vient des autres, quand le monde extérieur vous dégoûte, vous alanguit, vous corrompt, vous abrutit, les gens honnêtes et délicats sont forcés de chercher en eux-mêmes quelque part un lieu plus propre pour y vivre.
G. Flaubert, Correspondance,1852, p. 16.",,,,\a.lɑ̃.ɡi\,,//upload.wikimedia.org/wikipedia/commons/transcoded/f/f4/LL-Q150_%28fra%29-VictorDtmtc-alangui.wav/LL-Q150_%28fra%29-VictorDtmtc-alangui.wav.mp3
maintenant,"MAINTENANT,",,,,adv.,,,,"À l'instant, au moment où l'on dit «maintenant».",,,,"Vous voici arbre mugissant au vent et racontant à la nature des mélodies végétales. Maintenant vous planez dans l'azur du ciel immensément agrandi. Toute douleur a disparu. Vous ne luttez plus, vous êtes emporté, vous n'êtes plus votre maître et vous ne vous en affligez pas. Tout à l'heure l'idée du temps disparaîtra complétement (Baudel.,Paradis artif.,1860, p. 339).",,,,\mɛ̃t.nɑ̃\,,//upload.wikimedia.org/wikipedia/commons/transcoded/5/58/Fr-maintenant.ogg/Fr-maintenant.ogg.mp3
prestation,"PRESTATION,","Prester,",,,subst. fém.,"verbe trans.,",,,Acte solennel engageant le vassal à l'égard de son suzerain.,"Fournir une prestation, un travail. (Ds Davau-Cohen 1972, A. Doppagne, Les Région. du fr., Paris-Gembloux, Duculot, 1978, p.65).",,,"Dès son arrivée à Constantinople, à la surprise générale, alors que le loyal Godefroi de Bouillon avait opposé tant de résistance à la prestation de l'hommage, on le vit, lui, finasser sans scrupule, consentir d'emblée à toutes les formalités et promesses désirables, prendre tous les engagements requis, devenir sur-le-champ plus byzantin que les Byzantins (Grousset,Croisades, 1939, p.21).",,,,\pʁɛs.ta.sjɔ̃\,,//upload.wikimedia.org/wikipedia/commons/transcoded/f/f6/LL-Q150_%28fra%29-0x010C-prestation.wav/LL-Q150_%28fra%29-0x010C-prestation.wav.mp3
palabrer,"PALABRER,","Palabreur, -euse,",,,verbe,subst.,,,Tenir des palabres. (Dict. xxes.).,"Personne qui palabre, qui aime à discourir.",,,"Les animaux à vendre n'ont qu'une bride autour du cou. Les conducteurs chevauchent les autres et palabrent sans quitter la selle: ce sont de longues discussions qui ont de l'éclat mais peu de gestes (T'Serstevens, Itinér. esp., 1933, p.189).","Le palabreur recommençait de discourir, les yeux au plafond (Duhamel, Combat ombres, 1939, p.102).",,,\pa.la.bʁe\,,//upload.wikimedia.org/wikipedia/commons/transcoded/6/62/LL-Q150_%28fra%29-Arthur_Crbz-palabrer.wav/LL-Q150_%28fra%29-Arthur_Crbz-palabrer.wav.mp3
toiser,"TOISER,","Toisé, -ée,","Toisage,","Toisement,",verbe trans.,part. passé en empl. adj.,subst. masc.,subst. masc.,Mesurer en prenant la toise comme unité de longueur.,Qui est mesuré à la toise.,"Action de toiser, résultat de cette action.",Action de toiser du regard.,"On enseignera, dans ces écoles, à lire, à écrire, ce qui suppose nécessairement quelques notions grammaticales; on y joindra les règles de l'arithmétique, des méthodes simples de mesurer exactement un terrain, de toiser un édifice (Condorcet, Organ. instr. publ., 1792, p. 454).","Sous le prétexte de toisés et de vérification, on oblige un homme à mener la vie du couvreur; on le fait errer sur les toits à vingt-deux mètres au-dessus du niveau de la rue, sur des ardoises glissantes (Reybaud, J. Paturot, 1842, p. 245).","Le service du trafic assure le groupage des frets, effectue les opérations de toisage pour déterminer les taxations. Il établit les connaissements, certificats d'embarquement et extraits de manifestes (M. Benoist, Pettier, Transp. mar., 1961, p. 134).","Chaque bisse a son chef, élu par tous les participants à l'eau, son conseil, ses règlements écrits, relatifs à la répartition de l'eau, au toisement qui fixe les heures, les jours de chacun (Brunhes, Géogr. hum., 1942, p. 254).",\twa.ze\,//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Passant_sous_la_toise-_Mon_garcon%2C_on_ne_se_grandit_pas_comme_cela%21_Fais_moi_le_plaisir_de_descendre%2C_on_n%27escemote_pas_du_terrain_de_c%27te_facon_la%21_LACMA_M.76.132.116.jpg/220px-thumbnail.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/6/68/LL-Q150_%28fra%29-Lyoko%C3%AF-toiser.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-toiser.wav.mp3
affadir,"AFFADIR,",,,,verbe trans.,,,,"Affecter d'une sensation désagréable, écœurer.",,,,"1. Ce fut la faim qui me réveilla avant le jour, une faim qui tiraillait l'estomac et m'affadissait le cœur.
H. Malot, Romain Kalbris,1869, p. 89.",,,,\a.fa.diʁ\,,//upload.wikimedia.org/wikipedia/commons/transcoded/4/42/LL-Q150_%28fra%29-Lepticed7-affadir.wav/LL-Q150_%28fra%29-Lepticed7-affadir.wav.mp3
creuser,"CREUSER,","Creuseur,","Creusure,",,verbe trans.,subst. masc.,"subst. fém.,",,Faire une cavité en enlevant de la matière.,Celui qui creuse.,Creux.,,"Une empreinte ineffaçable, semblable à la goutte d'eau forte qui creuse la planche de cuivre en y tombant (Chênedollé, Journal,1822, p. 114).","Les assassins, creuseurs de fosses à la hâte (Hugo, Dieu,1885, p. 132).","Dans le cas de creusure pratiquée dans une surface, on comprendra facilement que, une fois cette profondeur réglée par la longueur ou la course de l'outil, elle sera toujours la même dans le cours de ce travail (Nosban, Manuel menuisier,t. 2, 1857, p. 238)",,\kʁø.ze\,//upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Creuser_puits1.jpg/220px-Creuser_puits1.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/5/5a/Fr-creuser.ogg/Fr-creuser.ogg.mp3
désembuer,,,,,,,,,,,,,,,,,\de.zɑ̃.bɥe\,,//upload.wikimedia.org/wikipedia/commons/transcoded/4/4f/LL-Q150_%28fra%29-Lyoko%C3%AF-d%C3%A9sembuer.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-d%C3%A9sembuer.wav.mp3
arrondir,"ARRONDIR,",,,,verbe trans.,,,,"Donner, prendre ou présenter une forme (approximativement) ronde.",,,,"1. Et le raisin apparaît! Fragile d'abord et peu fourni, de semaine en semaine abreuvé de rosée, il gonfle et se dilate, il arrondit ses grains en les pressant les uns contre les autres, dans la hâte de mûrir et de ruisseler.
Pesquidoux, Chez nous,t. 1, 1921, p. 113.",,,,\a.ʁɔ̃.diʁ\,,//upload.wikimedia.org/wikipedia/commons/transcoded/2/26/Fr-arrondir.ogg/Fr-arrondir.ogg.mp3
fausser,"FAUSSER,","Faussé, ée,",,,verbe trans.,part. passé en emploi adj.,,,Manquer à (ses engagements).,,,,"Le ciel m'a donné dans ma misère, un homme qui n'a jamais faussé sa parole (Mérimée, Jacquerie,1828, p. 339).","Tant de paroles données et faussées (Chateaubr., Mém.,t. 2, 1848, p. 601).",,,\fo.se\,,//upload.wikimedia.org/wikipedia/commons/transcoded/e/e4/Fr-fausser.ogg/Fr-fausser.ogg.mp3
entrelacs,"ENTRELACS,",,,,subst. masc.,,,,Ornement composé de motifs dont les courbes s'entrecroisent et s'enchevêtrent :,,,,"1. Il [le Charles IX de Clouet] est là tout entier, aussi réel que s'il posait devant vous, dans son justaucorps de velours noir rayé d'entrelacs d'or...
Gautier, Guide de l'amateur au musée du Louvre,1872, p. 164.",,,,\ɑ̃.tʁə.lɑ\,,
couturé,"COUTURER,",,,,verbe trans.,,,,Coudre.,,,,"Il était assez joli garçon : la petite vérole le coutura à vingt ans (Ponson du Terr., Rocambole,t. 1, 1859, p. 126).",,,,\ku.ty.ʁe\,,
désaltérer,"DÉSALTÉRER,",,,,verbe trans.,,,,Calmer la soif d'un homme ou d'un animal.,,,,"L'eau du ruisseau, qui désaltéroit mes bestiaux, nous désaltéroit aussi (Crèvecœur, Voyage, t. 2, 1801, p. 239).",,,,\de.zal.te.ʁe\,//upload.wikimedia.org/wikipedia/commons/thumb/f/f8/...%D1%81%D0%BF%D0%B5%D0%BA%D0%B0..%D1%80%D1%96%D1%87%D0%BA%D0%B0_%D0%A1%D1%82%D0%BE%D1%85%D1%96%D0%B4._%D1%83%D1%80%D0%BE%D1%87%D0%B8%D1%89%D0%B5_%22%D0%9B%D1%83%D0%BA%D0%B0%22.jpg/220px-...%D1%81%D0%BF%D0%B5%D0%BA%D0%B0..%D1%80%D1%96%D1%87%D0%BA%D0%B0_%D0%A1%D1%82%D0%BE%D1%85%D1%96%D0%B4._%D1%83%D1%80%D0%BE%D1%87%D0%B8%D1%89%D0%B5_%22%D0%9B%D1%83%D0%BA%D0%B0%22.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/3/32/Fr-d%C3%A9salt%C3%A9rer.ogg/Fr-d%C3%A9salt%C3%A9rer.ogg.mp3
combler,"COMBLER,",,,,verbe trans.,,,,"Remplir une mesure, un récipient au maximum de sa capacité avec un surplus qui le dépasse.",,,,"Il (...) emprunta une petite charrette, et, (...) il la combla de meubles (Huysmans, Les Sœurs Vatard,1879, p. 241).",,,,\kɔ̃.ble\,,//upload.wikimedia.org/wikipedia/commons/transcoded/1/1a/Fr-combler.ogg/Fr-combler.ogg.mp3
soubresaut,"SOUBRESAUT,","Soubresauter,",,,subst. masc.,"verbe intrans.,",,,"Saut brusque et imprévu d'un cheval, provoquant une secousse.",Faire des soubresauts.,,,"Si j'avais suivi ces exercices, je serais arrivé sans doute à ce calme du corps, si visible dans l'attitude, mais bien plus sensible encore au cheval, et qui, aux premiers soubresauts, s'abandonne encore plus et se détend, sans effort (Alain,Propos, 1921, p. 206).","Un bruit lointain qui me fit soubresauter fustigea toutes ces rêveries (Borel,Champavert, 1833, p. 123).",,,\su.bʁə.so\,,//upload.wikimedia.org/wikipedia/commons/transcoded/3/30/LL-Q150_%28fra%29-VictorDtmtc-soubresaut.wav/LL-Q150_%28fra%29-VictorDtmtc-soubresaut.wav.mp3
tambour,"TAMBOUR,","Tambourer,",,,subst. masc.,"verbe,",,,"Instrument à percussion constitué d'une caisse cylindrique dont les fonds sont formés d'une peau tendue, que l'on fait résonner en frappant la peau supérieure avec des baguettes.",(Faire) produire (à quelque chose) un son semblable à celui du tambour.,,,"Le tambour militaire (...) se prête à toutes les formules rythmiques par l'emploi alternatif ou simultané de ses deux baguettes (Lavignac, Mus. et musiciens, 1895, p. 186).","On fait le moins de bruit possible en respirant pour être certain de ne perdre aucun des bruits que fait le reste du monde (...); si c'est le papier collé sur une vitre cassée qui bourdonne ou qui tamboure; si c'est la clenche qui grelotte (Giono, Roi sans divertiss., 1947, p. 28).",,,\tɑ̃.buʁ\,//upload.wikimedia.org/wikipedia/commons/thumb/2/2a/DrumMozartRegiment.jpg/220px-DrumMozartRegiment.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/f/f2/Fr-tambour.ogg/Fr-tambour.ogg.mp3
coursive,"COURSIVE,",,,,subst. fém.,,,,Couloir étroit dans le sens de la longueur d'un navire :,,,,"On entendait derrière la porte et devant la fenêtre les garçons de cabine et les grooms parcourir les couloirs et les coursives en agitant leur sonnette pour faire évacuer les visiteurs...
Cendrars, Bourlinguer,1948, p. 45.",,,,\kuʁ.siv\,,//upload.wikimedia.org/wikipedia/commons/transcoded/6/69/LL-Q150_%28fra%29-VictorDtmtc-coursive.wav/LL-Q150_%28fra%29-VictorDtmtc-coursive.wav.mp3
comtoise,"COMTOIS, OISE,",,,,adj. et subst.,,,,"(Celui) qui habite la Franche-Comté ou en est originaire (L. Febvre, Combats pour l'hist., 1906, p. 193).",,,,"Procédé comtois, four comtois (R. Barnerias, Manuel des aciéries,1934, p. 46):",,,,\kɔ̃.twa\,,
frisottis,"FRISETTE1,","FRISETTE1,","Frisotte,","frisottis,",subst. fém.,subst. fém.,"subst. fém.,",subst. masc.,Petite boucle de cheveux frisés.,Petite boucle de cheveux frisés.,,,"Il a fini par m'embrasser vite, là, sur le cou, près des frisettes qu'il mordait en grognant (Huysmans, Sœurs Vatard,1879, p. 154).","Il a fini par m'embrasser vite, là, sur le cou, près des frisettes qu'il mordait en grognant (Huysmans, Sœurs Vatard,1879, p. 154).","Avec un rien de frisottis dans ses bandeaux, autrefois tout plats (Goncourt, Journal,1895, p. 368).","Avec un rien de frisottis dans ses bandeaux, autrefois tout plats (Goncourt, Journal,1895, p. 368).",\fʁi.zɔ.ti\,,
raccrocher,"RACCROCHER,","Raccrochement,",,,verbe,subst. masc.,,,"Suspendre, accrocher de nouveau (ce qui était décroché).","Fait de se raccrocher à quelqu'un, à quelque chose.",,,"Il va dans sa cellule chercher deux cailloux qu'il frappe l'un contre l'autre, enflamme une feuille sèche et allume la petite lampe qu'il raccroche à la muraille (Flaub., Tentation, 1849, p. 207):","Massis (...) me tient pour responsable de la faillite de la génération qui me suit. Il ne voit le salut que dans le raccroche-ment à de vieux principes (Gide, Journal, 1931, p. 1083).",,,\ʁa.kʁɔ.ʃe\,,//upload.wikimedia.org/wikipedia/commons/transcoded/3/37/LL-Q150_%28fra%29-Lyoko%C3%AF-raccrocher.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-raccrocher.wav.mp3
frontispice,"FRONTISPICE,",,,,subst. masc.,,,,Façade principale d'un grand édifice.,,,,"Le grand titre ou frontispice est par excellence la page annonciatrice de l'ouvrage (É. Leclerc, Nouv. manuel typogr.,1932, p. 259).",,,,\fʁɔ̃.tis.pis\,//upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Nordenski%C3%B6ld-Lettres-1880-frontispice.jpg/220px-Nordenski%C3%B6ld-Lettres-1880-frontispice.jpg,
ruisseau,"RUISSEAU,","Ru(i)sson,(Russon, Ruisson)",,,subst. masc.,"subst. masc.,",,,Cours d'eau d'importance relativement peu considérable par rapport à la rivière.,",,Petit canal alimenté par un chenal (...) dont l'eau se déverse dans les claires ou les salines`` (Réz. Ouest 1984).",,,"Après avoir circulé dans l'intérieur de la terre, l'eau peut revenir à l'air en formant des sources qui alimentent les ruisseaux et les rivières (Boule,Conf. géol.,1907, p. 13):","La plupart des marais sont alimentés par des chenaux, dont certains envasés ont été réduits à l'état de russons ou ruissons (P. Tardy,1972,ibid.).",,,\ʁɥi.so\,//upload.wikimedia.org/wikipedia/commons/thumb/9/99/Alfred_Sisley_049.jpg/220px-Alfred_Sisley_049.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/9/91/Fr-ruisseau.ogg/Fr-ruisseau.ogg.mp3
fiacre,"FIACRE,",,,,subst. masc.,,,,"Voiture de louage tirée par un cheval et conduite par un cocher, que l'on utilise à la course ou à l'heure.",,,,"Le fiacre se trouvait devant la place des fiacres du Jardin-des-Plantes (Balzac, Splend. et mis.,1847, p. 628).",,,,\fjakʁ\,//upload.wikimedia.org/wikipedia/commons/thumb/4/43/Cl%C3%A9ment_Maurice_Paris_en_plein_air%2C_BUC%2C_1897%2C072_L%27Heure_des_fiacres.jpg/220px-Cl%C3%A9ment_Maurice_Paris_en_plein_air%2C_BUC%2C_1897%2C072_L%27Heure_des_fiacres.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/8/88/LL-Q150_%28fra%29-VictorDtmtc-fiacre.wav/LL-Q150_%28fra%29-VictorDtmtc-fiacre.wav.mp3
oui,"OUI,","Béni-oui-oui,",,,adv.,"subst. inv. en genre et en nombre,",,,"Accepter, être d'accord.","Personne qui dit toujours «oui», qui fait preuve de servilité.",,,"Vous croyez au succès? Ceci était dit par une ombre à une autre ombre dans une loge d'avant-scène. −Et même à un grand succès, oui (Goncourt, Ch. Demailly, 1860, p.345).","Ces hommes [les Algériens de 1954] ne pouvaient rester des «béni-oui-oui», des «cireurs de chaussures», l'idée de l'indépendance étant une force irrésistible (L'Humanité, 29 oct. 1984, p.10, col. 1).",,,\wi\,,//upload.wikimedia.org/wikipedia/commons/transcoded/5/51/Fr-oui.ogg/Fr-oui.ogg.mp3
fol,"FOU1(ou FOL), FOLLE,","Folle-blanche,","Fou-fou,","fofolle,",adj. et subst.,subst. fém.,"adj. et subst.,","adj. et subst.,",Qui présente des troubles du comportement ou de l'esprit dénotant ou semblant dénoter une altération pathologique des facultés mentales.,"Cépage blanc des Charentes donnant un vin, qui, distillé, fournit le cognac (d'apr. Mont. 1967).","Espiègle, écervelé.","Espiègle, écervelé.","J'ai commencé par vous dire que le capitaine était fou, et que ses actes nous paraissaient nuls en bonne justice. − Qui vous le prouve, Mathieu? repris-je avec force (Nodier, Fée Miettes,1831, p. 97).","C'était l'époque où le gamay dans le Nord-Est, la folle blanche dans l'Ouest et le terret dans le Midi voyaient leur ère de culture s'emparer chaque année de surfaces nouvelles (Levadoux, Vigne,1961, p. 115).","Quelqu'un de tout fou, le jeune comte Octavian, assez foufou, assez lancé sous les jupes des dames pour être connu sous le tendre nom de « Quinquin » (C. Clément, L'Opéra ou La Défaite des femmes,Paris, Grasset, 1979, p. 208).","Quelqu'un de tout fou, le jeune comte Octavian, assez foufou, assez lancé sous les jupes des dames pour être connu sous le tendre nom de « Quinquin » (C. Clément, L'Opéra ou La Défaite des femmes,Paris, Grasset, 1979, p. 208).",\fɔl\,,//upload.wikimedia.org/wikipedia/commons/transcoded/1/11/Fol_%28avk%29.wav/Fol_%28avk%29.wav.mp3
œillère,"OEILLÈRE1,",,,,subst. fém.,,,,",,Trou percé pour la vue dans les heaumes du Moyen Âge`` (Leloir 1961).",,,,"Je disais à Rouveyre (...) combien le sort des chevaux est à plaindre, avec ces oeillères qui font d'eux des animaux presque aveugles (Léautaud, Journal littér., 3, 1911, p.55):",,,,\œ.jɛʁ\,,
capiton,"CAPITON,",,,,subst. masc.,,,,Bourre de soie qui était employée surtout pour le rembourrage des sièges.,,,,"La malheureuse se renversa dans un coin (...) étouffant ses sanglots et ses cris dans les capitons de soie (A. Daudet, Jack,t. 1, 1876, p. 24).",,,,\ka.pi.tɔ̃\,//upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Side_chair_made_by_Joseph_Meeks_and_Sons%2C_c._1850-1855%2C_laminated_rosewood.JPG/220px-Side_chair_made_by_Joseph_Meeks_and_Sons%2C_c._1850-1855%2C_laminated_rosewood.JPG,
fausse couche,,,,,,,,,,,,,,,,,\fos kuʃ\,,//upload.wikimedia.org/wikipedia/commons/transcoded/4/49/Fr-Paris--fausse-couche.ogg/Fr-Paris--fausse-couche.ogg.mp3
sas,"SAS1,","Sasse,",,,subst. masc.,"subst. fém.,",,,"Crible, tamis, fait d'un tissu de soie, de crin, de toile métallique, entouré d'un cercle de bois, qui sert à passer la farine, le plâtre, le sable ou bien à filtrer des liquides.",",,Blutoir dans lequel tombe la farine en sortant du moulin`` (Chesn. t. 2 1858).",,,De la farine passée au gros sas (Ac.1798-1878).,,,,\sas\,//upload.wikimedia.org/wikipedia/commons/thumb/2/26/US_Navy_060517-N-6027E-004_Members_of_the_media_film_inside_a_lock_out_chamber_aboard_the_Ohio-class_guided-missile_submarine_USS_Florida_%28SSGN_728%29.jpg/220px-US_Navy_060517-N-6027E-004_Members_of_the_media_film_inside_a_lock_out_chamber_aboard_the_Ohio-class_guided-missile_submarine_USS_Florida_%28SSGN_728%29.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/0/04/LL-Q150_%28fra%29-Eihel-sas.wav/LL-Q150_%28fra%29-Eihel-sas.wav.mp3
brouillard,"BROUILLARD1,",,,,subst. masc.,,,,Ensemble de gouttelettes d'eau en suspension dans l'air qui se forme au niveau du sol par suite du refroidissement des couches inférieures de l'air :,,,,"1. ... comme il était tombé toute la nuit une pluie fine, il restait encore un brouillard humide qui retardait son [du soleil] apparition.
Chateaubriand, Mémoires d'Outre-Tombe,t. 2, 1848, p. 158.",,,,\bʁu.jaʁ\,//upload.wikimedia.org/wikipedia/commons/thumb/d/d7/December_Fog_01_edit2.jpg/220px-December_Fog_01_edit2.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/3/30/Fr-brouillard.ogg/Fr-brouillard.ogg.mp3
carillon,"CARILLON,",,,,subst. masc.,,,,Dispositif (dans les clochers d'églises ou dans les tours d'hôtels de ville) qui permet de faire résonner alternativement plusieurs cloches formant harmonie entre elles :,,,,"1. Il n'y a pas de grande ville belge où un carillon, juché dans le beffroi, ne vienne tous les quarts d'heure amuser l'artisan à son établi, ... par les étranges harmonies de ses sonorités métalliques.
Taine, Philos. de l'art,t. 1, 1865, p. 261.",,,,\ka.ʁi.jɔ̃\,//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Helgeandskyrkan%2C_klockor_2.jpg/220px-Helgeandskyrkan%2C_klockor_2.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/f/fe/Fr-Paris--carillon.ogg/Fr-Paris--carillon.ogg.mp3
haut-le-corps,"HAUT-LE-CORPS,",,,,subst. masc. inv.,,,,"Bond instinctif, saut brusque et imprévu d'un cheval qui se cabre.",,,,"Avec mes jumelles je distinguais (...) le mouvement pressé des jambes et les haut-le-corps des chevaux (Amiel, Journal,1866, p. 216).",,,,\hɔl.kɔʁ\,,
calvaire,"CALVAIRE,",,,,subst. masc.,,,,Colline où Jésus-Christ fut crucifié.,,,,"Les filles de Jérusalem pleurèrent sur lui; les saintes femmes l'accompagnèrent au Calvaire (Chateaubriand, Mémoires d'Outre-Tombe,t. 4, 1848, p. 389).",,,,\kal.vɛʁ\,//upload.wikimedia.org/wikipedia/commons/thumb/d/de/Beauchamp_-_Calvaire_de_l_eglise_Notre-Dame.jpg/220px-Beauchamp_-_Calvaire_de_l_eglise_Notre-Dame.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/d/d0/Fr-calvaire.ogg/Fr-calvaire.ogg.mp3
tribord,"TRIBORD,","Tribordais,",,,subst. masc.,"subst. masc.,",,,"Partie du navire située à la droite d'un observateur tourné vers l'avant, vers la proue.",",,Matelot faisant partie du quart de tribord`` (Gruss 1952).",,,"Le mât de misaine vint en bas avec tout son gréement. Le brick talonna deux fois et resta immobile, donnant sur tribord une bande de trente degrés (Verne, Enf. cap. Grant, t. 3, 1868, p. 41).","Je commande, inexorable: « En haut, les tribordais, à l'appel! » et ils montent, demi-nus (Loti, Mon frère Yves, 1883, p. 343).",,,\tʁi.bɔʁ\,,//upload.wikimedia.org/wikipedia/commons/transcoded/f/f1/LL-Q150_%28fra%29-0x010C-tribord.wav/LL-Q150_%28fra%29-0x010C-tribord.wav.mp3
édredon,"ÉDREDON,",,,,subst. masc.,,,,Duvet de l'eider*.,,,,"Le montagnard écossais, suspendu dans les airs par une corde au haut d'un rocher des Orcades, dérobe à l'eider l'édredon de son nid (Bern. de St.-P., Harm. nat.,1814, p. 233).",,,,\e.dʁə.dɔ̃\,,//upload.wikimedia.org/wikipedia/commons/transcoded/9/9e/LL-Q150_%28fra%29-WikiLucas00-%C3%A9dredon.wav/LL-Q150_%28fra%29-WikiLucas00-%C3%A9dredon.wav.mp3
